har_id,gene,old_rank,rank,rank_change,old_total,total_score,old_score_accel,score_acceleration,old_score_motif,score_motif,driver
HAR_2119,QDPR,99,106,-7,0.3865801966740357,0.3579594901543706,0.5038881998202709,0.051730920535011805,0.0,0.06060606060606061,acceleration
HAR_2372,NDUFS4,162,107,55,0.339104939671473,0.35582925520280584,0.6842536188832306,0.8654523544679273,0.0,0.08080808080808081,acceleration
HAR_2029,STAG1,91,108,-17,0.4007060322313819,0.3539788319965876,0.7253823175071941,0.021775849506524475,0.0,0.050505050505050504,motif
HAR_524,SOX5,146,109,37,0.3460824989847139,0.35335804126213416,0.674287707761876,0.7493639971507073,0.0,0.04040404040404041,acceleration
HAR_1062,FTO,88,110,-22,0.40140651145869255,0.3529876800294381,0.7303443589178512,0.017001745426336545,0.0,0.030303030303030304,motif
HAR_2090,ALG3,95,111,-16,0.39074333411934037,0.35238173552161606,0.6385461468971989,0.04001825928180158,0.0,0.0707070707070707,motif
HAR_479,ESAM,96,112,-16,0.3899105237050554,0.3515567262669423,0.6903062294111546,0.041384736428009446,0.0,0.1414141414141414,motif
HAR_1555,ZEB2,89,113,-24,0.40096001195610076,0.35142412088905023,0.7585366802825129,0.014806057535326241,0.0,0.050505050505050504,motif
HAR_3213,LHX2,93,114,-21,0.39377466133197025,0.35088512942569267,0.6638105056107901,0.0294578853046595,0.0,0.030303030303030304,acceleration
HAR_2801,AUTS2,111,115,-4,0.37665044573404,0.3507875107868303,0.4963221252297783,0.040271539403838305,0.0,0.12121212121212122,motif
HAR_2468,PCDH12,131,116,15,0.359463282499892,0.350539274356026,0.4056444068529448,0.10499840306611308,0.0,0.24242424242424243,motif
HAR_2567,MOCS1,104,117,-13,0.381175012413442,0.3494570184523571,0.5541184818999658,0.05049923195084485,0.0,0.0707070707070707,motif
HAR_1094,DHODH,109,118,-9,0.3777022239458366,0.34874146267810197,0.4911177504570016,0.04131755341432761,0.0,0.050505050505050504,acceleration
HAR_2849,RBM28,107,119,-12,0.37877467288919636,0.3477599329111772,0.48577729829418964,0.02827956989247312,0.0,0.020202020202020204,acceleration
HAR_1685,SPEG,102,120,-18,0.3827533618936071,0.3464875884451684,0.6313783707619169,0.04836082799201429,0.0,0.09090909090909091,motif
HAR_3090,NFIB,123,121,2,0.3629089688527893,0.34594932650034105,0.4056444068529448,0.08399872245289046,0.0,0.1111111111111111,acceleration
HAR_1486,AFF3,115,122,-7,0.3682492200907809,0.3448182042926859,0.5348438819930368,0.055814940577249575,0.0,0.20202020202020202,motif
HAR_2230,LARP7,113,123,-10,0.36941265406485413,0.3441148747262403,0.46590295854547165,0.046786053130929796,0.0,0.08080808080808081,motif
HAR_1495,POU3F3,108,124,-16,0.3778596193405744,0.3388682423827905,0.6521685710502857,0.037428842504743834,0.0,0.08080808080808081,motif
HAR_1006,NR2F2,141,125,16,0.35055511907084214,0.3385517999894494,0.46590295854547165,0.07797675521821633,0.0,0.30303030303030304,motif
HAR_961,MAP2K1,119,126,-7,0.36719152264585986,0.3373702469195778,0.5654168820863954,0.038388556415121886,0.0,0.1414141414141414,motif
HAR_1167,GAS2L2,208,127,81,0.3052053454586691,0.33641957353435553,0.5895770714280899,0.9200544999263515,0.0,0.16161616161616163,acceleration
HAR_2829,FOXP2,114,128,-14,0.368391961689033,0.33614281203441876,0.5369605917095105,0.03296841049640649,0.0,0.06060606060606061,motif
HAR_1890,DOCK3,105,129,-24,0.37982909569432854,0.3341874788081278,0.7137563394203006,0.01844319775596073,0.0,0.06060606060606061,motif
HAR_1657,NDUFS1,136,130,6,0.3541448296185359,0.33159460862201434,0.5026464898582086,0.06506036018207006,0.0,0.16161616161616163,motif
HAR_392,PAX6,184,131,53,0.3233702051596756,0.33096593291323195,0.1415827003879145,0.235663082437276,0.0,0.020202020202020204,acceleration
HAR_2557,LEMD2,121,132,-11,0.36391798949844045,0.3301638038700981,0.6197811621872792,0.03656840934371524,0.0,0.1414141414141414,motif
HAR_1309,TCF4,122,133,-11,0.3632568016036022,0.3299652630829141,0.6204818855493601,0.05830839153087241,0.0,0.12121212121212122,motif
HAR_944,TCF12,134,134,0,0.35839898196437303,0.3290283097055712,0.5681464638153684,0.04755533053667004,0.0,0.1414141414141414,motif
HAR_285,ATOH7,127,135,-8,0.3614444204257775,0.32823493660887676,0.5944023507665166,0.0334010668021336,0.0,0.12121212121212122,motif
HAR_1303,DCC,169,136,33,0.3349946166806824,0.32780807914026666,0.48846497733071353,0.11162988115449915,0.0,0.3838383838383838,motif
HAR_1176,CBX1,218,137,81,0.30242946958556954,0.3272119758095421,0.5699461288468407,0.8157568238213401,0.0,0.15151515151515152,acceleration
HAR_254,CELF2,117,138,-21,0.36790671148401194,0.32717061346505827,0.6795934777512919,0.03271415540260387,0.0,0.09090909090909091,motif
HAR_1164,UNC45B,233,139,94,0.29011260824369206,0.3253643990344412,0.6133640692185893,0.8283607919147169,0.0,0.40404040404040403,acceleration
HAR_253,CELF2,128,140,-12,0.36023601333992417,0.3252593941988955,0.6162410274788926,0.03720996038483305,0.0,0.1111111111111111,motif
HAR_1422,CRIM1,135,141,-6,0.35455624740430897,0.32499728858492327,0.5804233309979263,0.035497368065865835,0.0,0.1717171717171717,motif
HAR_3041,TONSL,116,142,-26,0.3681229901980092,0.3235592934999277,0.7000116492495114,0.03452738184546136,0.0,0.04040404040404041,acceleration
HAR_368,PTH,150,143,7,0.3433867081045831,0.3234919327215201,0.4520233115152681,0.0668021336042672,0.0,0.1414141414141414,motif
HAR_1936,MITF,144,144,0,0.3482735642159708,0.32340379579882805,0.5920039593006508,0.04191635853627439,0.0,0.2727272727272727,motif
HAR_522,SOX5,186,145,41,0.32201538099132965,0.32314230489012985,0.8767714126790117,0.8640102966589862,0.0,0.04040404040404041,acceleration
HAR_3106,BNC2,132,146,-14,0.35863626668423493,0.3226373881710855,0.6626757212491817,0.04739592719408903,0.0,0.1414141414141414,motif
HAR_1675,ATIC,139,147,-8,0.3511745599958421,0.3220046567878186,0.7092767594563821,0.06168362560438767,0.0,0.32323232323232326,motif
HAR_1886,SCN11A,124,148,-24,0.3620772128165692,0.3217136968454876,0.7000116492495114,0.02959489872468117,0.0,0.13131313131313133,motif
HAR_2781,RALA,142,149,-7,0.3498441058285846,0.3216659414625887,0.5337772442703982,0.04465195246179966,0.0,0.12121212121212122,motif
HAR_2369,MOCS2,192,150,42,0.3180381797220815,0.3185264396226086,0.8291370605504638,0.7783921442665076,0.0,0.08080808080808081,acceleration
HAR_551,RAP1B,244,151,93,0.27827356906122747,0.31810430467217427,0.5193789353362982,0.9440892997639655,0.0,0.20202020202020202,acceleration
HAR_434,TYR,133,152,-19,0.3584486113487233,0.3179420013415495,0.646088935958742,0.03856304985337244,0.0,0.04040404040404041,acceleration
HAR_305,KIF11,157,153,4,0.3399121324626194,0.317076135318031,0.4613803975667307,0.048571780349667575,0.0,0.12121212121212122,motif
HAR_820,MDGA2,161,154,7,0.33927524070035553,0.31660810796030797,0.6429798856805118,0.05220843672456576,0.0,0.37373737373737376,motif
HAR_3241,IL1RAPL1,125,155,-30,0.36179972425444823,0.3162599335922327,0.7124227503977152,0.018564269076021742,0.0,0.06060606060606061,motif
HAR_879,SLC24A4,225,156,69,0.29796883516104056,0.31585526936116504,0.027275210351524696,0.28279569892473116,0.0,0.0,acceleration
HAR_1376,SOX11,130,157,-27,0.3595538362015316,0.3155195553912343,0.6732098125970496,0.022503636519209377,0.0,0.030303030303030304,acceleration
HAR_2084,FXR1,145,158,-13,0.34711881085454666,0.31525483148898237,0.5862957051224376,0.051730920535011805,0.0,0.1111111111111111,motif
HAR_2901,ASAH1,163,159,4,0.33881772440035096,0.31439950921094795,0.4963221252297783,0.05369538587178441,0.0,0.13131313131313133,motif
HAR_3061,GLIS3,138,160,-22,0.35138947796325115,0.31392053139411386,0.6704899234114838,0.03420915712799168,0.0,0.1414141414141414,motif
